"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","213","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: en","Country: gb / Role: NoAuth","2","0","0","2","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: es","Country: gb / Role: Auth","2","0","0","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: ro","Country: gb / Role: NoAuth","4","0","0","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: fr","Country: gb / Role: NoAuth","2","0","0","0","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: en","Country: gb / Role: NoAuth","0","0","0","3","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: de","Country: gb / Role: Auth","1","0","0","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: fr","Country: gb / Role: NoAuth","4","0","0","0","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: es","Country: gb / Role: NoAuth","2","0","0","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: es","Country: gb / Role: Auth","0","0","1","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: it","Country: gb / Role: NoAuth","4","1","0","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: de","Country: gb / Role: NoAuth","8","1","0","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: ro","Country: gb / Role: NoAuth","4","0","0","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: es","Country: gb / Role: NoAuth","5","0","0","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: cn","Country: gb / Role: Auth","1","0","0","0","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: en","Country: gb / Role: NoAuth","3","0","0","2","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: de","Country: gb / Role: NoAuth","2","0","0","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: de","Country: gb / Role: NoAuth","9","0","0","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: fr","Country: gb / Role: Auth","1","0","0","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: fr","Country: gb / Role: Auth","2","0","0","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: it","Country: gb / Role: Auth","1","0","0","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: en","Country: gb / Role: NoAuth","2","0","0","1","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: de","Country: gb / Role: Auth","1","0","0","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: it","Country: gb / Role: Auth","1","0","0","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: es","Country: gb / Role: Auth","2","0","0","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: de","Country: gb / Role: NoReg","1","0","0","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: es","Country: gb / Role: NoAuth","4","0","0","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: es","Country: gb / Role: NoAuth","2","0","0","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: de","Country: gb / Role: NoAuth","2","0","0","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: es","Country: gb / Role: NoAuth","5","0","0","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: nl","Country: gb / Role: NoAuth","2","0","0","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: ro","Country: gb / Role: Auth","1","0","0","0","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: en","Country: gb / Role: Auth","0","0","0","1","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: es","Country: gb / Role: NoAuth","2","0","0","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: de","Country: gb / Role: NoAuth","2","0","0","0","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: cn","Country: gb / Role: Auth","0","2","0","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: es","Country: gb / Role: Auth","1","0","0","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: en","Country: gb / Role: NoAuth","0","0","0","1","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: en","Country: gb / Role: NoAuth","0","0","0","2","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: en","Country: gb / Role: NoAuth","0","0","0","4","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: it","Country: gb / Role: Auth","1","0","0","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: es","Country: gb / Role: NoReg","1","0","0","0","0"
